index,score,threshold,prediction,attack
344,185128.9375,45.028438568115234,1,0
345,185120.984375,45.028438568115234,1,0
346,185115.40625,45.028438568115234,1,0
347,185115.234375,45.028438568115234,1,0
348,185114.015625,45.028438568115234,1,0
349,185113.96875,45.028438568115234,1,0
350,185114.21875,45.028438568115234,1,1
351,185113.796875,45.028438568115234,1,1
352,185113.40625,45.028438568115234,1,1
353,185113.40625,45.028438568115234,1,1
354,185113.671875,45.028438568115234,1,1
355,185113.78125,45.028438568115234,1,1
356,185108.6875,45.028438568115234,1,1
357,185106.140625,45.028438568115234,1,0
358,185103.71875,45.028438568115234,1,0
359,185103.796875,45.028438568115234,1,0
360,185103.4375,45.028438568115234,1,0
361,185103.484375,45.028438568115234,1,0
362,185102.625,45.028438568115234,1,0
363,185087.015625,45.028438568115234,1,0
364,185078.59375,45.028438568115234,1,0
365,185072.8125,45.028438568115234,1,1
366,5412651.0,45.028438568115234,1,1
367,3150401.5,45.028438568115234,1,1
368,2156396.5,45.028438568115234,1,1
369,2066568.75,45.028438568115234,1,1
370,1006220.3125,45.028438568115234,1,1
371,768613.6875,45.028438568115234,1,1
372,763141.6875,45.028438568115234,1,0
373,761886.3125,45.028438568115234,1,0
374,760238.375,45.028438568115234,1,0
375,759867.1875,45.028438568115234,1,0
376,759869.8125,45.028438568115234,1,0
377,759871.75,45.028438568115234,1,0
378,759872.375,45.028438568115234,1,0
379,759869.8125,45.028438568115234,1,0
380,759869.8125,45.028438568115234,1,1
381,759869.8125,45.028438568115234,1,1
382,759869.8125,45.028438568115234,1,1
383,759883.4375,45.028438568115234,1,1
384,759886.0625,45.028438568115234,1,1
385,759919.125,45.028438568115234,1,1
386,759926.5625,45.028438568115234,1,1
387,759928.875,45.028438568115234,1,0
388,759931.8125,45.028438568115234,1,0
389,759924.3125,45.028438568115234,1,0
390,759924.3125,45.028438568115234,1,0
391,759924.3125,45.028438568115234,1,0
392,759924.3125,45.028438568115234,1,0
393,759924.3125,45.028438568115234,1,0
394,759924.3125,45.028438568115234,1,0
395,759924.3125,45.028438568115234,1,1
396,2611497.25,45.028438568115234,1,0
397,787857.1875,45.028438568115234,1,0
398,779304.75,45.028438568115234,1,0
399,775645.75,45.028438568115234,1,0
400,771522.1875,45.028438568115234,1,0
401,769118.875,45.028438568115234,1,0
402,768732.125,45.028438568115234,1,0
403,768732.125,45.028438568115234,1,0
404,768732.125,45.028438568115234,1,0
405,768732.125,45.028438568115234,1,1
406,4731637.0,45.028438568115234,1,0
407,553170.875,45.028438568115234,1,0
408,191481.453125,45.028438568115234,1,0
409,430307.28125,45.028438568115234,1,0
410,327200.375,45.028438568115234,1,0
411,143717.828125,45.028438568115234,1,0
412,143718.796875,45.028438568115234,1,0
413,143720.671875,45.028438568115234,1,0
414,143715.71875,45.028438568115234,1,0
415,143724.484375,45.028438568115234,1,0
416,127118.671875,45.028438568115234,1,1
417,1332702.0,45.028438568115234,1,0
418,174414.640625,45.028438568115234,1,0
419,178194.671875,45.028438568115234,1,0
420,284976.5,45.028438568115234,1,0
421,199858.0,45.028438568115234,1,0
422,205427.3125,45.028438568115234,1,0
423,203666.609375,45.028438568115234,1,0
424,195681.140625,45.028438568115234,1,0
425,195681.546875,45.028438568115234,1,1
426,195680.328125,45.028438568115234,1,1
427,195698.984375,45.028438568115234,1,1
428,195669.296875,45.028438568115234,1,1
429,170476.890625,45.028438568115234,1,1
430,189165.875,45.028438568115234,1,0
431,193367.8125,45.028438568115234,1,0
432,195451.09375,45.028438568115234,1,0
433,195009.75,45.028438568115234,1,0
434,192557.140625,45.028438568115234,1,0
435,193093.875,45.028438568115234,1,0
436,142450.203125,45.028438568115234,1,0
437,174739.625,45.028438568115234,1,0
438,156817.03125,45.028438568115234,1,0
439,174616.015625,45.028438568115234,1,1
440,152947.578125,45.028438568115234,1,1
441,167128.8125,45.028438568115234,1,1
442,170894.515625,45.028438568115234,1,1
443,170172.921875,45.028438568115234,1,0
444,169635.59375,45.028438568115234,1,0
445,167554.671875,45.028438568115234,1,0
446,165291.875,45.028438568115234,1,0
447,164131.765625,45.028438568115234,1,0
448,163199.34375,45.028438568115234,1,0
449,163278.421875,45.028438568115234,1,0
450,163056.015625,45.028438568115234,1,0
451,160767.171875,45.028438568115234,1,0
452,160210.484375,45.028438568115234,1,0
453,159900.296875,45.028438568115234,1,0
454,159853.421875,45.028438568115234,1,1
455,159779.4375,45.028438568115234,1,1
456,154609.46875,45.028438568115234,1,1
457,127391.296875,45.028438568115234,1,1
458,142635.625,45.028438568115234,1,1
459,146807.546875,45.028438568115234,1,1
460,148083.015625,45.028438568115234,1,0
461,147783.859375,45.028438568115234,1,0
462,145282.578125,45.028438568115234,1,0
463,145077.53125,45.028438568115234,1,0
464,144903.296875,45.028438568115234,1,0
465,144910.921875,45.028438568115234,1,0
466,144904.09375,45.028438568115234,1,0
467,144891.125,45.028438568115234,1,0
468,144870.109375,45.028438568115234,1,0
469,144858.59375,45.028438568115234,1,1
470,144853.15625,45.028438568115234,1,1
471,144851.21875,45.028438568115234,1,1
472,144739.515625,45.028438568115234,1,1
473,144680.21875,45.028438568115234,1,1
474,144661.96875,45.028438568115234,1,1
475,144669.03125,45.028438568115234,1,1
476,144675.765625,45.028438568115234,1,0
477,144662.375,45.028438568115234,1,0
478,144749.171875,45.028438568115234,1,0
479,144819.421875,45.028438568115234,1,0
480,144845.625,45.028438568115234,1,0
481,144833.53125,45.028438568115234,1,0
482,144843.90625,45.028438568115234,1,0
483,144847.8125,45.028438568115234,1,0
484,144847.0,45.028438568115234,1,0
485,144845.625,45.028438568115234,1,1
486,144826.5625,45.028438568115234,1,1
487,144819.5,45.028438568115234,1,1
488,144813.984375,45.028438568115234,1,1
489,144812.609375,45.028438568115234,1,1
490,144809.4375,45.028438568115234,1,1
491,144804.328125,45.028438568115234,1,0
